assay,value,cell_line,inhibitor,ASA,FU,replicate
7AAD,13.8558,HCT116,CQ,0,75,2
7AAD,12.55992,HCT116,CQ,0,75,3
7AAD,11.51586,HCT116,CQ,2.5,0,1
7AAD,12.58674,HCT116,CQ,2.5,0,2
7AAD,10.1984,HCT116,CQ,2.5,0,3
7AAD,15.98133,HCT116,CQ,2.5,50,1
7AAD,14.04578,HCT116,CQ,2.5,50,2
7AAD,11.23572,HCT116,CQ,2.5,50,3
7AAD,16.19202,HCT116,CQ,2.5,75,1
7AAD,17.37316,HCT116,CQ,2.5,75,2
7AAD,16.87633,HCT116,CQ,2.5,75,3
7AAD,12.27608,HCT116,CQ,5,0,1
7AAD,12.21867,HCT116,CQ,5,0,2
7AAD,10.48663,HCT116,CQ,5,0,3
7AAD,16.8312,HCT116,CQ,5,50,1
7AAD,17.8398,HCT116,CQ,5,50,2
7AAD,18.61295,HCT116,CQ,5,50,3
7AAD,17.33486,HCT116,CQ,5,75,1
7AAD,18.48729,HCT116,CQ,5,75,2
7AAD,16.86051,HCT116,CQ,5,75,3
7AAD,9.78321,HT29,None,0,0,1
7AAD,8.00642,HT29,None,0,0,2
7AAD,9.216,HT29,None,0,0,3
7AAD,12.51806,HT29,None,0,50,1
7AAD,9.41649,HT29,None,0,50,2
7AAD,13.09509,HT29,None,0,50,3
7AAD,11.47707,HT29,None,0,75,1
7AAD,11.99682,HT29,None,0,75,2
7AAD,9.18603,HT29,None,0,75,3
7AAD,7.99317,HT29,None,2.5,0,1
7AAD,13.20877,HT29,None,2.5,0,2
7AAD,12.10231,HT29,None,2.5,0,3
7AAD,14.75192,HT29,None,2.5,50,1
7AAD,13.74028,HT29,None,2.5,50,2
7AAD,13.38204,HT29,None,2.5,50,3
7AAD,13.5489,HT29,None,2.5,75,1
7AAD,12.27231,HT29,None,2.5,75,2
7AAD,13.49112,HT29,None,2.5,75,3
7AAD,9.05814,HT29,None,5,0,1
7AAD,13.29573,HT29,None,5,0,2
7AAD,11.59191,HT29,None,5,0,3
7AAD,12.97939,HT29,None,5,50,1
7AAD,13.13171,HT29,None,5,50,2
7AAD,13.76224,HT29,None,5,50,3
7AAD,16.42918,HT29,None,5,75,1
7AAD,14.83911,HT29,None,5,75,2
7AAD,17.6488,HT29,None,5,75,3
7AAD,10.10054,HT29,3-MA,0,0,1
7AAD,10.37379,HT29,3-MA,0,0,2
7AAD,11.59794,HT29,3-MA,0,0,3
7AAD,11.94882,HT29,3-MA,0,50,1
7AAD,14.97477,HT29,3-MA,0,50,2
7AAD,11.96742,HT29,3-MA,0,50,3
7AAD,12.56867,HT29,3-MA,0,75,1
7AAD,14.56679,HT29,3-MA,0,75,2
7AAD,15.23414,HT29,3-MA,0,75,3
7AAD,15.07048,HT29,3-MA,2.5,0,1
7AAD,12.57553,HT29,3-MA,2.5,0,2
7AAD,10.63515,HT29,3-MA,2.5,0,3
7AAD,15.32351,HT29,3-MA,2.5,50,1
7AAD,11.43468,HT29,3-MA,2.5,50,2
7AAD,16.17035,HT29,3-MA,2.5,50,3
7AAD,16.27827,HT29,3-MA,2.5,75,1
7AAD,18.7487,HT29,3-MA,2.5,75,2
7AAD,13.7232,HT29,3-MA,2.5,75,3
7AAD,13.56227,HT29,3-MA,5,0,1
7AAD,12.39381,HT29,3-MA,5,0,2
7AAD,14.44037,HT29,3-MA,5,0,3
7AAD,17.75675,HT29,3-MA,5,50,1
7AAD,15.08973,HT29,3-MA,5,50,2
7AAD,13.93797,HT29,3-MA,5,50,3
7AAD,20.4434,HT29,3-MA,5,75,1
7AAD,19.29617,HT29,3-MA,5,75,2
7AAD,18.96471,HT29,3-MA,5,75,3
7AAD,11.2692,HT29,CQ,0,0,1
7AAD,10.85056,HT29,CQ,0,0,2
7AAD,12.9528,HT29,CQ,0,0,3
7AAD,13.97643,HT29,CQ,0,50,1
7AAD,12.64135,HT29,CQ,0,50,2
7AAD,14.36872,HT29,CQ,0,50,3
7AAD,13.94182,HT29,CQ,0,75,1
7AAD,15.96764,HT29,CQ,0,75,2
7AAD,17.84465,HT29,CQ,0,75,3
7AAD,12.71186,HT29,CQ,2.5,0,1
7AAD,14.15631,HT29,CQ,2.5,0,2
7AAD,12.70404,HT29,CQ,2.5,0,3
7AAD,14.81549,HT29,CQ,2.5,50,1
7AAD,17.5514,HT29,CQ,2.5,50,2
7AAD,16.12485,HT29,CQ,2.5,50,3
7AAD,15.50561,HT29,CQ,2.5,75,1
7AAD,17.10967,HT29,CQ,2.5,75,2
7AAD,16.5127,HT29,CQ,2.5,75,3
7AAD,15.00777,HT29,CQ,5,0,1
7AAD,13.9432,HT29,CQ,5,0,2
7AAD,13.38795,HT29,CQ,5,0,3
7AAD,19.74577,HT29,CQ,5,50,1
7AAD,16.65577,HT29,CQ,5,50,2
7AAD,17.58894,HT29,CQ,5,50,3
7AAD,21.10954,HT29,CQ,5,75,1
7AAD,21.58818,HT29,CQ,5,75,2
7AAD,18.88433,HT29,CQ,5,75,3
CFSE,61.3379,HCT116,None,0,0,1
CFSE,61.83429,HCT116,None,0,0,2
CFSE,62.65741,HCT116,None,0,0,3
CFSE,58.04039,HCT116,None,0,50,1
CFSE,64.27415,HCT116,None,0,50,2
CFSE,52.61366,HCT116,None,0,50,3
CFSE,47.18901,HCT116,None,0,75,1
CFSE,53.96667,HCT116,None,0,75,2
CFSE,61.86666,HCT116,None,0,75,3
CFSE,63.61196,HCT116,None,2.5,0,1
CFSE,50.74108,HCT116,None,2.5,0,2
CFSE,44.62896,HCT116,None,2.5,0,3
CFSE,48.66676,HCT116,None,2.5,50,1
CFSE,51.03231,HCT116,None,2.5,50,2
CFSE,49.82727,HCT116,None,2.5,50,3
CFSE,47.15104,HCT116,None,2.5,75,1
CFSE,52.00893,HCT116,None,2.5,75,2
CFSE,45.48866,HCT116,None,2.5,75,3
CFSE,51.56738,HCT116,None,5,0,1
CFSE,48.06205,HCT116,None,5,0,2
CFSE,49.82,HCT116,None,5,0,3
CFSE,49.15666,HCT116,None,5,50,1
CFSE,39.31614,HCT116,None,5,50,2
CFSE,52.17599,HCT116,None,5,50,3
CFSE,41.73279,HCT116,None,5,75,1
CFSE,38.93227,HCT116,None,5,75,2
CFSE,43.25227,HCT116,None,5,75,3
CFSE,56.68175,HCT116,3-MA,0,0,1
CFSE,56.95531,HCT116,3-MA,0,0,2
CFSE,56.60052,HCT116,3-MA,0,0,3
CFSE,54.75111,HCT116,3-MA,0,50,1
CFSE,57.9565,HCT116,3-MA,0,50,2
CFSE,55.66408,HCT116,3-MA,0,50,3
CFSE,56.03432,HCT116,3-MA,0,75,1
CFSE,48.59599,HCT116,3-MA,0,75,2
CFSE,56.50909,HCT116,3-MA,0,75,3
CFSE,49.22171,HCT116,3-MA,2.5,0,1
CFSE,55.20059,HCT116,3-MA,2.5,0,2
CFSE,49.73236,HCT116,3-MA,2.5,0,3
CFSE,52.22739,HCT116,3-MA,2.5,50,1
CFSE,42.70325,HCT116,3-MA,2.5,50,2
CFSE,39.24915,HCT116,3-MA,2.5,50,3
CFSE,40.21079,HCT116,3-MA,2.5,75,1
CFSE,38.61793,HCT116,3-MA,2.5,75,2
CFSE,49.42238,HCT116,3-MA,2.5,75,3
CFSE,48.13918,HCT116,3-MA,5,0,1
CFSE,50.81425,HCT116,3-MA,5,0,2
CFSE,48.4124,HCT116,3-MA,5,0,3
CFSE,40.71502,HCT116,3-MA,5,50,1
CFSE,37.40366,HCT116,3-MA,5,50,2
CFSE,44.89869,HCT116,3-MA,5,50,3
CFSE,41.57546,HCT116,3-MA,5,75,1
CFSE,30.23418,HCT116,3-MA,5,75,2
CFSE,36.85383,HCT116,3-MA,5,75,3
CFSE,61.45962,HCT116,CQ,0,0,1
CFSE,55.99004,HCT116,CQ,0,0,2
CFSE,52.56283,HCT116,CQ,0,0,3
CFSE,48.79471,HCT116,CQ,0,50,1
CFSE,50.57444,HCT116,CQ,0,50,2
CFSE,52.09178,HCT116,CQ,0,50,3
CFSE,54.42422,HCT116,CQ,0,75,1
CFSE,47.70543,HCT116,CQ,0,75,2
CFSE,47.54854,HCT116,CQ,0,75,3
CFSE,60.30075,HCT116,CQ,2.5,0,1
CFSE,46.23439,HCT116,CQ,2.5,0,2
CFSE,50.0534,HCT116,CQ,2.5,0,3
CFSE,43.20225,HCT116,CQ,2.5,50,1
CFSE,40.30186,HCT116,CQ,2.5,50,2
CFSE,42.7907,HCT116,CQ,2.5,50,3
CFSE,42.57655,HCT116,CQ,2.5,75,1
CFSE,41.00079,HCT116,CQ,2.5,75,2
CFSE,45.64767,HCT116,CQ,2.5,75,3
CFSE,47.90766,HCT116,CQ,5,0,1
CFSE,39.92276,HCT116,CQ,5,0,2
CFSE,49.1884,HCT116,CQ,5,0,3
CFSE,28.77221,HCT116,CQ,5,50,1
CFSE,39.63918,HCT116,CQ,5,50,2
CFSE,39.39019,HCT116,CQ,5,50,3
CFSE,39.63738,HCT116,CQ,5,75,1
CFSE,34.12313,HCT116,CQ,5,75,2
CFSE,34.15367,HCT116,CQ,5,75,3
CFSE,62.53948,HT29,None,0,0,1
CFSE,55.72876,HT29,None,0,0,2
CFSE,66.14079,HT29,None,0,0,3
CFSE,53.85185,HT29,None,0,50,1
CFSE,46.17746,HT29,None,0,50,2
CFSE,48.38832,HT29,None,0,50,3
CFSE,46.01619,HT29,None,0,75,1
CFSE,47.52616,HT29,None,0,75,2
CFSE,45.46387,HT29,None,0,75,3
CFSE,50.87335,HT29,None,2.5,0,1
CFSE,56.69096,HT29,None,2.5,0,2
CFSE,61.39455,HT29,None,2.5,0,3
CFSE,44.6105,HT29,None,2.5,50,1
CFSE,44.05001,HT29,None,2.5,50,2
CFSE,50.49734,HT29,None,2.5,50,3
CFSE,39.32465,HT29,None,2.5,75,1
CFSE,32.91887,HT29,None,2.5,75,2
CFSE,42.86213,HT29,None,2.5,75,3
CFSE,48.04218,HT29,None,5,0,1
CFSE,49.93266,HT29,None,5,0,2
CFSE,53.98757,HT29,None,5,0,3
CFSE,38.75871,HT29,None,5,50,1
CFSE,44.53539,HT29,None,5,50,2
CFSE,37.81797,HT29,None,5,50,3
CFSE,33.47888,HT29,None,5,75,1
CFSE,33.86305,HT29,None,5,75,2
CFSE,29.93792,HT29,None,5,75,3
CFSE,55.35282,HT29,3-MA,0,0,1
CFSE,59.71488,HT29,3-MA,0,0,2
CFSE,61.08266,HT29,3-MA,0,0,3
CFSE,49.28158,HT29,3-MA,0,50,1
CFSE,44.72634,HT29,3-MA,0,50,2
CFSE,51.51761,HT29,3-MA,0,50,3
CFSE,49.7763,HT29,3-MA,0,75,1
CFSE,48.49345,HT29,3-MA,0,75,2
CFSE,42.22429,HT29,3-MA,0,75,3
CFSE,50.7179,HT29,3-MA,2.5,0,1
CFSE,54.75244,HT29,3-MA,2.5,0,2
CFSE,52.85471,HT29,3-MA,2.5,0,3
CFSE,37.76954,HT29,3-MA,2.5,50,1
CFSE,45.99755,HT29,3-MA,2.5,50,2
CFSE,45.05266,HT29,3-MA,2.5,50,3
CFSE,47.92153,HT29,3-MA,2.5,75,1
CFSE,43.63528,HT29,3-MA,2.5,75,2
CFSE,33.75303,HT29,3-MA,2.5,75,3
CFSE,51.44664,HT29,3-MA,5,0,1
CFSE,44.97926,HT29,3-MA,5,0,2
CFSE,49.05229,HT29,3-MA,5,0,3
CFSE,37.12966,HT29,3-MA,5,50,1
CFSE,39.40384,HT29,3-MA,5,50,2
CFSE,44.76347,HT29,3-MA,5,50,3
CFSE,38.68448,HT29,3-MA,5,75,1
CFSE,37.56197,HT29,3-MA,5,75,2
CFSE,31.46667,HT29,3-MA,5,75,3
CFSE,49.21056,HT29,CQ,0,0,1
CFSE,58.50462,HT29,CQ,0,0,2
CFSE,50.77063,HT29,CQ,0,0,3
CFSE,50.24474,HT29,CQ,0,50,1
CFSE,50.75257,HT29,CQ,0,50,2
CFSE,45.91589,HT29,CQ,0,50,3
CFSE,45.4851,HT29,CQ,0,75,1
CFSE,52.14188,HT29,CQ,0,75,2
CFSE,47.92398,HT29,CQ,0,75,3
CFSE,43.67192,HT29,CQ,2.5,0,1
CFSE,48.58791,HT29,CQ,2.5,0,2
CFSE,44.76253,HT29,CQ,2.5,0,3
CFSE,44.26313,HT29,CQ,2.5,50,1
CFSE,44.17427,HT29,CQ,2.5,50,2
CFSE,39.55246,HT29,CQ,2.5,50,3
CFSE,37.3267,HT29,CQ,2.5,75,1
CFSE,38.41369,HT29,CQ,2.5,75,2
CFSE,37.12257,HT29,CQ,2.5,75,3
CFSE,40.64254,HT29,CQ,5,0,1
CFSE,42.87267,HT29,CQ,5,0,2
CFSE,47.94679,HT29,CQ,5,0,3
CFSE,35.54714,HT29,CQ,5,50,1
CFSE,37.67746,HT29,CQ,5,50,2
CFSE,35.3116,HT29,CQ,5,50,3
CFSE,26.1797,HT29,CQ,5,75,1
CFSE,24.12004,HT29,CQ,5,75,2
CFSE,32.02762,HT29,CQ,5,75,3
Necrosis,4.82445,HCT116,None,0,0,1
Necrosis,7.25272,HCT116,None,0,0,2
Necrosis,4.2762,HCT116,None,0,0,3
Necrosis,7.63065,HCT116,None,0,50,1
Necrosis,6.04862,HCT116,None,0,50,2
Necrosis,4.95646,HCT116,None,0,50,3
Necrosis,6.95151,HCT116,None,0,75,1
Necrosis,8.04848,HCT116,None,0,75,2
Necrosis,5.99357,HCT116,None,0,75,3
Necrosis,6.14531,HCT116,None,2.5,0,1
Necrosis,7.13134,HCT116,None,2.5,0,2
Necrosis,7.0469,HCT116,None,2.5,0,3
Necrosis,7.71931,HCT116,None,2.5,50,1
Necrosis,8.04337,HCT116,None,2.5,50,2
Necrosis,6.7294,HCT116,None,2.5,50,3
Necrosis,8.37053,HCT116,None,2.5,75,1
Necrosis,9.05924,HCT116,None,2.5,75,2
Necrosis,7.10468,HCT116,None,2.5,75,3
Necrosis,6.7253,HCT116,None,5,0,1
Necrosis,10.2833,HCT116,None,5,0,2
Necrosis,7.84942,HCT116,None,5,0,3
Necrosis,8.9396,HCT116,None,5,50,1
Necrosis,8.49275,HCT116,None,5,50,2
Necrosis,7.41859,HCT116,None,5,50,3
Necrosis,6.77446,HCT116,None,5,75,1
Necrosis,8.1421,HCT116,None,5,75,2
Necrosis,8.77391,HCT116,None,5,75,3
Necrosis,5.72523,HCT116,3-MA,0,0,1
Necrosis,4.10244,HCT116,3-MA,0,0,2
Necrosis,7.63203,HCT116,3-MA,0,0,3
Necrosis,7.52508,HCT116,3-MA,0,50,1
Necrosis,8.30206,HCT116,3-MA,0,50,2
Necrosis,7.88671,HCT116,3-MA,0,50,3
Necrosis,7.63203,HCT116,3-MA,0,75,1
Necrosis,10.9637,HCT116,3-MA,0,75,2
Necrosis,7.15568,HCT116,3-MA,0,75,3
Necrosis,5.99119,HCT116,3-MA,2.5,0,1
Necrosis,6.11317,HCT116,3-MA,2.5,0,2
Necrosis,6.39946,HCT116,3-MA,2.5,0,3
Necrosis,7.97391,HCT116,3-MA,2.5,50,1
Necrosis,8.13654,HCT116,3-MA,2.5,50,2
Necrosis,7.61684,HCT116,3-MA,2.5,50,3
Necrosis,10.54676,HCT116,3-MA,2.5,75,1
Necrosis,7.9554,HCT116,3-MA,2.5,75,2
Necrosis,11.3423,HCT116,3-MA,2.5,75,3
Necrosis,7.9303,HCT116,3-MA,5,0,1
Necrosis,7.79786,HCT116,3-MA,5,0,2
Necrosis,8.21496,HCT116,3-MA,5,0,3
Necrosis,8.37294,HCT116,3-MA,5,50,1
Necrosis,9.82169,HCT116,3-MA,5,50,2
Necrosis,10.01007,HCT116,3-MA,5,50,3
Necrosis,7.53897,HCT116,3-MA,5,75,1
Necrosis,9.94632,HCT116,3-MA,5,75,2
Necrosis,9.54269,HCT116,3-MA,5,75,3
Necrosis,7.2886,HCT116,CQ,0,0,1
Necrosis,5.55127,HCT116,CQ,0,0,2
Necrosis,6.61951,HCT116,CQ,0,0,3
Necrosis,8.72273,HCT116,CQ,0,50,1
Necrosis,9.20356,HCT116,CQ,0,50,2
Necrosis,9.87711,HCT116,CQ,0,50,3
Necrosis,9.20953,HCT116,CQ,0,75,1
Necrosis,10.19323,HCT116,CQ,0,75,2
Necrosis,9.06309,HCT116,CQ,0,75,3
Necrosis,6.0331,HCT116,CQ,2.5,0,1
Necrosis,8.07061,HCT116,CQ,2.5,0,2
Necrosis,7.13753,HCT116,CQ,2.5,0,3
Necrosis,9.68307,HCT116,CQ,2.5,50,1
Necrosis,10.10967,HCT116,CQ,2.5,50,2
Necrosis,10.76145,HCT116,CQ,2.5,50,3
Necrosis,8.53216,HCT116,CQ,2.5,75,1
Necrosis,10.40731,HCT116,CQ,2.5,75,2
Necrosis,10.68895,HCT116,CQ,2.5,75,3
Necrosis,8.95609,HCT116,CQ,5,0,1
Necrosis,11.76216,HCT116,CQ,5,0,2
Necrosis,10.75333,HCT116,CQ,5,0,3
Necrosis,10.39438,HCT116,CQ,5,50,1
Necrosis,8.44736,HCT116,CQ,5,50,2
Necrosis,10.80465,HCT116,CQ,5,50,3
Necrosis,10.5976,HCT116,CQ,5,75,1
Necrosis,9.68604,HCT116,CQ,5,75,2
Necrosis,12.95421,HCT116,CQ,5,75,3
Necrosis,5.01639,HT29,None,0,0,1
Necrosis,7.29053,HT29,None,0,0,2
Necrosis,5.26825,HT29,None,0,0,3
Necrosis,8.57171,HT29,None,0,50,1
Necrosis,7.5043,HT29,None,0,50,2
Necrosis,8.74442,HT29,None,0,50,3
Necrosis,7.25776,HT29,None,0,75,1
Necrosis,9.48921,HT29,None,0,75,2
Necrosis,7.63315,HT29,None,0,75,3
Necrosis,5.36658,HT29,None,2.5,0,1
Necrosis,7.12305,HT29,None,2.5,0,2
Necrosis,5.20943,HT29,None,2.5,0,3
Necrosis,8.92892,HT29,None,2.5,50,1
Necrosis,10.76605,HT29,None,2.5,50,2
Necrosis,6.6414,HT29,None,2.5,50,3
Necrosis,7.59508,HT29,None,2.5,75,1
Necrosis,7.7231,HT29,None,2.5,75,2
Necrosis,7.83261,HT29,None,2.5,75,3
Necrosis,8.08784,HT29,None,5,0,1
Necrosis,11.29537,HT29,None,5,0,2
Necrosis,5.67857,HT29,None,5,0,3
Necrosis,8.18932,HT29,None,5,50,1
Necrosis,6.50326,HT29,None,5,50,2
Necrosis,9.9182,HT29,None,5,50,3
Necrosis,9.1697,HT29,None,5,75,1
Necrosis,8.69097,HT29,None,5,75,2
Necrosis,7.85268,HT29,None,5,75,3
Necrosis,5.88969,HT29,3-MA,0,0,1
Necrosis,7.57739,HT29,3-MA,0,0,2
Necrosis,6.54123,HT29,3-MA,0,0,3
Necrosis,8.69992,HT29,3-MA,0,50,1
Necrosis,9.97813,HT29,3-MA,0,50,2
Necrosis,9.82923,HT29,3-MA,0,50,3
Necrosis,8.23005,HT29,3-MA,0,75,1
Necrosis,12.65898,HT29,3-MA,0,75,2
Necrosis,9.03363,HT29,3-MA,0,75,3
Necrosis,7.83478,HT29,3-MA,2.5,0,1
Necrosis,9.47566,HT29,3-MA,2.5,0,2
Necrosis,9.89189,HT29,3-MA,2.5,0,3
Necrosis,11.77162,HT29,3-MA,2.5,50,1
Necrosis,8.54846,HT29,3-MA,2.5,50,2
Necrosis,10.10783,HT29,3-MA,2.5,50,3
Necrosis,11.47146,HT29,3-MA,2.5,75,1
Necrosis,11.24997,HT29,3-MA,2.5,75,2
Necrosis,11.74102,HT29,3-MA,2.5,75,3
Necrosis,9.1515,HT29,3-MA,5,0,1
Necrosis,8.98491,HT29,3-MA,5,0,2
Necrosis,5.87075,HT29,3-MA,5,0,3
Necrosis,8.80259,HT29,3-MA,5,50,1
Necrosis,11.25981,HT29,3-MA,5,50,2
Necrosis,10.75232,HT29,3-MA,5,50,3
Necrosis,11.6182,HT29,3-MA,5,75,1
Necrosis,11.68731,HT29,3-MA,5,75,2
Necrosis,11.73977,HT29,3-MA,5,75,3
Necrosis,7.15598,HT29,CQ,0,0,1
Necrosis,7.86763,HT29,CQ,0,0,2
Necrosis,6.1336,HT29,CQ,0,0,3
Necrosis,7.54819,HT29,CQ,0,50,1
Necrosis,11.30552,HT29,CQ,0,50,2
Necrosis,9.83638,HT29,CQ,0,50,3
Necrosis,10.54052,HT29,CQ,0,75,1
Necrosis,11.80663,HT29,CQ,0,75,2
Necrosis,10.73471,HT29,CQ,0,75,3
Necrosis,10.70052,HT29,CQ,2.5,0,1
Necrosis,8.48971,HT29,CQ,2.5,0,2
Necrosis,6.94656,HT29,CQ,2.5,0,3
Necrosis,10.39027,HT29,CQ,2.5,50,1
Necrosis,8.90276,HT29,CQ,2.5,50,2
Necrosis,10.10981,HT29,CQ,2.5,50,3
Necrosis,11.69991,HT29,CQ,2.5,75,1
Necrosis,11.25729,HT29,CQ,2.5,75,2
Necrosis,9.88649,HT29,CQ,2.5,75,3
Necrosis,10.22042,HT29,CQ,5,0,1
Necrosis,11.28652,HT29,CQ,5,0,2
Necrosis,9.13187,HT29,CQ,5,0,3
Necrosis,13.11795,HT29,CQ,5,50,1
Necrosis,14.36295,HT29,CQ,5,50,2
Necrosis,11.91967,HT29,CQ,5,50,3
Necrosis,13.07201,HT29,CQ,5,75,1
Necrosis,11.78153,HT29,CQ,5,75,2
Necrosis,12.56885,HT29,CQ,5,75,3
ATP,1.07591,HCT116,None,0,0,1
ATP,1.09244,HCT116,None,0,0,2
ATP,0.91526,HCT116,None,0,0,3
ATP,0.90918,HCT116,None,0,50,1
ATP,0.82192,HCT116,None,0,50,2
ATP,0.87848,HCT116,None,0,50,3
ATP,0.94785,HCT116,None,0,75,1
ATP,0.66587,HCT116,None,0,75,2
ATP,0.78714,HCT116,None,0,75,3
ATP,0.93319,HCT116,None,2.5,0,1
ATP,1.00137,HCT116,None,2.5,0,2
ATP,0.84334,HCT116,None,2.5,0,3
ATP,0.62188,HCT116,None,2.5,50,1
ATP,0.81196,HCT116,None,2.5,50,2
ATP,0.66567,HCT116,None,2.5,50,3
ATP,0.71215,HCT116,None,2.5,75,1
ATP,0.59411,HCT116,None,2.5,75,2
ATP,0.63737,HCT116,None,2.5,75,3
ATP,1.02486,HCT116,None,5,0,1
ATP,0.92014,HCT116,None,5,0,2
ATP,0.66758,HCT116,None,5,0,3
ATP,0.61845,HCT116,None,5,50,1
ATP,0.70796,HCT116,None,5,50,2
ATP,0.7189,HCT116,None,5,50,3
ATP,0.53216,HCT116,None,5,75,1
ATP,0.38374,HCT116,None,5,75,2
ATP,0.46067,HCT116,None,5,75,3
ATP,0.76377,HCT116,3-MA,0,0,1
ATP,0.94341,HCT116,3-MA,0,0,2
ATP,0.96394,HCT116,3-MA,0,0,3
ATP,0.82071,HCT116,3-MA,0,50,1
ATP,0.91013,HCT116,3-MA,0,50,2
ATP,0.87395,HCT116,3-MA,0,50,3
ATP,0.77029,HCT116,3-MA,0,75,1
ATP,0.69762,HCT116,3-MA,0,75,2
ATP,0.94887,HCT116,3-MA,0,75,3
ATP,0.79402,HCT116,3-MA,2.5,0,1
ATP,0.73184,HCT116,3-MA,2.5,0,2
ATP,0.84748,HCT116,3-MA,2.5,0,3
ATP,0.72894,HCT116,3-MA,2.5,50,1
ATP,0.49758,HCT116,3-MA,2.5,50,2
ATP,0.48191,HCT116,3-MA,2.5,50,3
ATP,0.5854,HCT116,3-MA,2.5,75,1
ATP,0.7079,HCT116,3-MA,2.5,75,2
ATP,0.66648,HCT116,3-MA,2.5,75,3
ATP,0.83154,HCT116,3-MA,5,0,1
ATP,0.67926,HCT116,3-MA,5,0,2
ATP,0.68155,HCT116,3-MA,5,0,3
ATP,0.55594,HCT116,3-MA,5,50,1
ATP,0.58633,HCT116,3-MA,5,50,2
ATP,0.56155,HCT116,3-MA,5,50,3
ATP,0.66579,HCT116,3-MA,5,75,1
ATP,0.63151,HCT116,3-MA,5,75,2
ATP,0.57372,HCT116,3-MA,5,75,3
ATP,0.92964,HCT116,CQ,0,0,1
ATP,0.73016,HCT116,CQ,0,0,2
ATP,0.99926,HCT116,CQ,0,0,3
ATP,0.84595,HCT116,CQ,0,50,1
ATP,0.64879,HCT116,CQ,0,50,2
ATP,0.6768,HCT116,CQ,0,50,3
ATP,0.71749,HCT116,CQ,0,75,1
ATP,0.64711,HCT116,CQ,0,75,2
ATP,0.67221,HCT116,CQ,0,75,3
ATP,0.75463,HCT116,CQ,2.5,0,1
ATP,0.78534,HCT116,CQ,2.5,0,2
ATP,0.9935,HCT116,CQ,2.5,0,3
ATP,0.64622,HCT116,CQ,2.5,50,1
ATP,0.52715,HCT116,CQ,2.5,50,2
ATP,0.78938,HCT116,CQ,2.5,50,3
ATP,0.67173,HCT116,CQ,2.5,75,1
